epoch,zero-t,random-t,xavier-t,he-t,zero-v,random-v,xavier-v,he-v
0k,0.69314718,0.691935375,3.904858023,7.594058256,0.693108451,0.691786911,2.201816335,3.839244195
1k,0.667842364,0.225404623,0.210676156,0.233403987,0.666340863,0.240773346,0.238461327,0.256589809
2k,0.667842359,0.199927739,0.186999291,0.199441542,0.666340152,0.19684733,0.20817981,0.218745368
3k,0.667842359,0.185136208,0.169695113,0.182055195,0.666340152,0.183332812,0.187518497,0.198784805
4k,0.667842359,0.178348565,0.155552119,0.168474499,0.666340152,0.175811147,0.17326723,0.186902829
5k,0.667842359,0.170109413,0.145197726,0.167381859,0.666340152,0.168497219,0.168763486,0.182073766
6k,0.667842359,0.16460295,0.14133999,0.159476716,0.666340152,0.174945922,0.164319438,0.177968777
7k,,0.189756108,0.139036354,0.151891803,,0.215836495,0.161062034,0.179314663
8k,,0.166519649,0.149520793,0.158185251,,0.168263528,0.160107187,0.180382728
9k,,0.156544705,0.14021634,0.149723903,,0.160332282,0.162378476,0.174705658
10k,,0.14483633,0.134865777,0.145916872,,0.159048957,0.158332871,0.172907913
11k,,0.143902117,0.141272769,0.149370628,,0.158161394,0.167339997,0.173157063
12k,,0.154144673,0.135334263,0.145361338,,0.17181193,0.160297716,0.171428201
13k,,0.142073636,0.130586877,0.142815623,,0.158512105,0.15653676,0.171395689
14k,,0.153823335,0.136416382,0.142127332,,0.165246607,0.16569091,0.171907364
15k,,0.142325501,0.132670551,0.140806991,,0.174518075,0.15941482,0.171465403
16k,,0.152206337,0.132670551,0.142536376,,0.159702184,0.155628547,0.171703189
17k,,,0.127890929,0.139066661,,,0.164851657,0.177898386
18k,,,0.130110109,,,,0.159604696,
19k,,,0.124617855,,,,0.155886687,
20k,,,0.124168627,,,,0.156537071,
21k,,,0.124971833,,,,0.158414173,
